SalesID,MachineID,ModelID,YearMade,UsageBand,saledate,fiModelDesc,fiBaseModel,fiProductClassDesc,state,ProductGroupDesc,Blade_Type,Differential_Type,Steering_Controls
1227829,1006309,3168,1999,Low,5/3/12 0:00,580G,580,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Wyoming,Backhoe Loaders,,,
1227844,1022817,7271,1000,High,5/10/12 0:00,936,936,Wheel Loader - 135.0 to 150.0 Horsepower,Virginia,Wheel Loader,,Standard,Conventional
1227847,1031560,22805,2004,Medium,5/10/12 0:00,EC210BLC,EC210,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",New Jersey,Track Excavators,,,
1227848,56204,1269,2006,High,5/10/12 0:00,330CL,330,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",New Jersey,Track Excavators,,,
1227863,1053887,22312,2005,Low,5/10/12 0:00,650K,650,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Florida,Track Type Tractors,PAT,,
1227870,1068694,16747,2007,High,5/3/12 0:00,WB146-5,WB146,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,New Jersey,Backhoe Loaders,,,
1227871,1012262,9133,2005,High,5/3/12 0:00,WB140,WB140,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,New Jersey,Backhoe Loaders,,,
1227879,1064696,4699,1000,,5/3/12 0:00,544E,544,Wheel Loader - 100.0 to 110.0 Horsepower,New Jersey,Wheel Loader,,Standard,Conventional
1227880,1067175,22145,1000,Low,5/3/12 0:00,650GIV,650,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",New Jersey,Track Type Tractors,PAT,,
1227881,1007429,423,2000,Medium,5/3/12 0:00,PC228USLC2,PC228,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",New Jersey,Track Excavators,,,
1227882,1055110,28666,2010,Medium,5/3/12 0:00,PC88MR8,PC88,"Hydraulic Excavator, Track - 8.0 to 11.0 Metric Tons",New Jersey,Track Excavators,,,
1227883,1068955,23799,2011,Medium,5/3/12 0:00,WA250-6,WA250,Wheel Loader - 120.0 to 135.0 Horsepower,New Jersey,Wheel Loader,,Standard,Conventional
1227885,1044580,607,2001,Medium,5/3/12 0:00,WA320-3MC,WA320,Wheel Loader - 135.0 to 150.0 Horsepower,New Jersey,Wheel Loader,,Standard,Conventional
1227886,1010859,607,2002,Medium,5/3/12 0:00,WA320-3MC,WA320,Wheel Loader - 135.0 to 150.0 Horsepower,New Jersey,Wheel Loader,,Standard,Conventional
1227887,1034643,9133,2004,High,5/3/12 0:00,WB140,WB140,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,New Jersey,Backhoe Loaders,,,
1227888,1041793,9133,2004,High,5/3/12 0:00,WB140,WB140,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,New Jersey,Backhoe Loaders,,,
1227905,1007591,24808,2006,,5/10/12 0:00,214E4WD,214,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,South Carolina,Backhoe Loaders,,,
1227910,1052362,265,2002,Medium,5/3/12 0:00,D65PX-12,D65,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",Florida,Track Type Tractors,None or Unspecified,,
1227911,1069210,28617,1000,Medium,5/3/12 0:00,PC300LC5LC,PC300,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",Florida,Track Excavators,,,
1227912,1048121,23623,2000,Medium,5/3/12 0:00,PC400LC6LK,PC400,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",Florida,Track Excavators,,,
1227913,1024367,614,1000,,5/3/12 0:00,WA380-1L,WA380,Wheel Loader - 175.0 to 200.0 Horsepower,Florida,Wheel Loader,,Standard,Conventional
1227914,1019366,12006,1998,Medium,5/10/12 0:00,WA450-3L,WA450,Wheel Loader - 250.0 to 275.0 Horsepower,Florida,Wheel Loader,,Standard,Conventional
1227917,1016441,12524,2001,Medium,5/3/12 0:00,TB135,TB135,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",Florida,Track Excavators,,,
1227918,1033245,603,1000,Low,5/10/12 0:00,WA320-1,WA320,Wheel Loader - 150.0 to 175.0 Horsepower,Florida,Wheel Loader,,Standard,Conventional
1227920,1001560,3357,1000,Low,5/10/12 0:00,12G,12,Motorgrader - 130.0 to 145.0 Horsepower,Florida,Motor Graders,,,
1227924,1033912,13247,2005,Medium,5/10/12 0:00,580MII,580,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Illinois,Backhoe Loaders,,,
1227925,1022700,24808,2006,Low,5/10/12 0:00,214E4WD,214,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Virginia,Backhoe Loaders,,,
1227930,1021291,15957,2006,Low,5/10/12 0:00,8018,8018,"Hydraulic Excavator, Track - 0.0 to 2.0 Metric Tons",Alabama,Track Excavators,,,
1227933,1038010,9578,2009,Medium,5/3/12 0:00,S185,S185,Skid Steer Loader - Unidentified,Texas,Skid Steer Loaders,,,
1227942,1042634,3178,1000,Low,5/3/12 0:00,580SUPER L,580,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Louisiana,Backhoe Loaders,,,
1227949,1062265,3180,2004,Medium,5/3/12 0:00,580SUPER M,580,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,Backhoe Loaders,,,
1227972,1033522,3537,1000,Low,5/3/12 0:00,416B,416,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Arizona,Backhoe Loaders,,,
1227976,1047624,1830,2006,Medium,5/10/12 0:00,120C,120,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",Louisiana,Track Excavators,,,
1227977,1065397,17309,2006,Medium,5/10/12 0:00,S130,S130,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,Louisiana,Skid Steer Loaders,,,
1227979,1036591,2140,2005,Medium,5/10/12 0:00,SK160LC,SK160,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",Kentucky,Track Excavators,,,
1227980,1028760,6783,1000,Low,5/10/12 0:00,550,550,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Kentucky,Track Type Tractors,None or Unspecified,,
1227988,1060161,3178,1000,,5/10/12 0:00,580SUPER L,580,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Kentucky,Backhoe Loaders,,,
1227990,1048790,22265,1000,,5/10/12 0:00,450C,450,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Kentucky,Track Type Tractors,PAT,,
1227991,1067124,3177,1000,,5/10/12 0:00,580SUPER K,580,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Kentucky,Backhoe Loaders,,,
1227992,1030388,3178,2000,Medium,5/10/12 0:00,580SUPER L,580,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Kentucky,Backhoe Loaders,,,
1227994,1039754,3282,2001,Medium,5/10/12 0:00,CX160,CX160,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",Kentucky,Track Excavators,,,
1227997,1033752,3177,1000,,5/10/12 0:00,580SUPER K,580,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Kentucky,Backhoe Loaders,,,
1228007,378614,1126,2004,,5/3/12 0:00,314CLCR,314,"Hydraulic Excavator, Track - 14.0 to 16.0 Metric Tons",Arizona,Track Excavators,,,
1228012,1025619,14382,2006,Medium,5/3/12 0:00,624J,624,Wheel Loader - 150.0 to 175.0 Horsepower,Washington,Wheel Loader,,Standard,Conventional
1228019,1004086,18220,2003,Low,5/3/12 0:00,G80,G80,Motorgrader - 45.0 to 130.0 Horsepower,Oklahoma,Motor Graders,,,
1228031,1041157,3463,1997,Low,5/10/12 0:00,311B,311,"Hydraulic Excavator, Track - 11.0 to 12.0 Metric Tons",Virginia,Track Excavators,,,
1228040,1047860,5894,2005,Medium,5/3/12 0:00,L90E,L90,Wheel Loader - 150.0 to 175.0 Horsepower,Oklahoma,Wheel Loader,,Standard,Conventional
1228042,1012963,25175,2006,Low,5/10/12 0:00,570MXT,570,Backhoe Loader - 0.0 to 14.0 Ft Standard Digging Depth,Mississippi,Backhoe Loaders,,,
1228046,1026083,3355,1000,Low,5/3/12 0:00,12E,12,Motorgrader - 45.0 to 130.0 Horsepower,Virginia,Motor Graders,,,
1228049,1006843,4149,1000,Low,5/3/12 0:00,D8N,D8,"Track Type Tractor, Dozer - 260.0 + Horsepower",Virginia,Track Type Tractors,Semi U,,
1228050,1017234,13854,1000,Medium,5/3/12 0:00,D6HII,D6,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",Virginia,Track Type Tractors,Semi U,,
1228056,1033244,17230,2005,Low,5/10/12 0:00,322G,322,"Hydraulic Excavator, Track - 0.0 to 2.0 Metric Tons",Washington,Track Excavators,,,
1228061,540082,3542,2001,Medium,5/3/12 0:00,420D,420,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Indiana,Backhoe Loaders,,,
1228065,1012757,8316,1998,Low,5/3/12 0:00,7775,7775,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,North Carolina,Skid Steer Loaders,,,
1228069,1008432,10183,1000,Low,5/3/12 0:00,L783,L783,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,North Carolina,Skid Steer Loaders,,,
1228071,777982,23926,1999,Medium,5/10/12 0:00,12HNA,12,Motorgrader - 130.0 to 145.0 Horsepower,Florida,Motor Graders,,,
1228072,785210,23926,1998,,5/10/12 0:00,12HNA,12,Motorgrader - 130.0 to 145.0 Horsepower,Florida,Motor Graders,,,
