SalesID,SalePrice,MachineID,ModelID,YearMade,UsageBand,Quantity Sold,saledate,fiProductClassDesc,state,ProductGroupDesc,Hydraulics,Blade_Type,Blade_type_cost,Differential_Type,Differential_type_cost,Steering_Controls,Steering_control_cost,Cost Price
1139246,66000,999089,3157,2004,Low,37,11/16/06 0:00,Wheel Loader - 110.0 to 120.0 Horsepower,Alabama,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139248,57000,117657,77,1996,Low,100.00,3/26/04 0:00,Wheel Loader - 150.0 to 175.0 Horsepower,North Carolina,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139249,10000,434808,7009,2001,High,100.00,2/26/04 0:00,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,New York,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139251,38500,1026470,332,2001,High,90.00,5/19/11 0:00,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",Texas,Track Excavators,2 Valve,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139253,11000,1057373,17311,2007,Medium,50.00,7/23/09 0:00,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,New York,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139255,26500,1001274,4605,2004,Low,20.00,12/18/08 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Arizona,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139256,21000,772701,1937,1993,High,40.00,8/26/04 0:00,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Florida,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139261,27000,902002,3539,2001,High,80.00,11/17/05 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Illinois,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139272,21500,1036251,36003,2008,Low,40.00,8/27/09 0:00,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",Texas,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139275,65000,1016474,3883,1000,Medium,93.00,8/9/07 0:00,Wheel Loader - 350.0 to 500.0 Horsepower,Florida,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139278,24000,1024998,4605,2004,Medium,100.00,8/21/08 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Oregon,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139282,22500,319906,5255,1998,Low,78.00,8/24/06 0:00,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Ohio,Track Type Tractors,2 Valve,PAT,3000,None or Unspecified,1200,None or Unspecified,1000,20400
1139283,36000,1052214,2232,1998,low,300.00,10/20/05 0:00,"Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",Ohio,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139284,30500,1068082,3542,2001,Medium,90.00,1/26/06 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Texas,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139290,28000,1058450,5162,2004,Low,48.00,1/3/06 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,North Carolina,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139291,19000,1004810,4604,1999,Medium,97.00,11/16/06 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Arkansas,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139292,13500,1026973,9510,1999,Low,120.00,6/14/07 0:00,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",Florida,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139299,9500,1002713,21442,2003,low,356.00,1/28/10 0:00,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Wisconsin,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139301,12500,125790,7040,2001,Low,130.00,3/9/06 0:00,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",North Carolina,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139304,11500,1011914,3177,1991,Medium,200.00,11/17/05 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Illinois,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
