SalesID,SalePrice,MachineID,ModelID,YearMade,UsageBand,Quantity_sold,saledate,fiProductClassDesc,state,ProductGroupDesc,Hydraulics,Blade_Type,Blade_type_cost,Differential_Type,Differential_type_cost,Steering_Controls,Steering_control_cost,Cost Price,saleYear,saleMonth,saleDay,saleDayofweek,saledayofyear
1140049.0,33000.0,1055591.0,1956.0,1995.0,Medium,20.0,2004-01-20,"Hydraulic Excavator, Track - 28.0 to 33.0 Metric Tons",Pennsylvania,Track Excavators,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,20.0,1.0,20.0
1146945.0,25000.0,829758.0,7046.0,2001.0,Low,130.0,2004-01-29,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Massachusetts,Track Excavators,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1141518.0,11500.0,157544.0,7009.0,1999.0,Medium,120.0,2004-01-29,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,Georgia,Skid Steer Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1143835.0,44000.0,472863.0,77.0,1993.0,Medium,100.0,2004-01-29,Wheel Loader - 150.0 to 175.0 Horsepower,Texas,Wheel Loader,2 Valve,None or Unspecified,1000.0,Limited Slip,2000.0,Conventional,1500.0,17000.0,2004.0,1.0,29.0,3.0,29.0
1144789.0,18500.0,444008.0,7014.0,2003.0,Low,97.0,2004-01-29,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,New York,Skid Steer Loaders,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1140785.0,13000.0,1031651.0,4579.0,1998.0,Low,40.0,2004-01-29,Wheel Loader - 60.0 to 80.0 Horsepower,Florida,Wheel Loader,2 Valve,None or Unspecified,1000.0,Standard,1500.0,Conventional,1500.0,16000.0,2004.0,1.0,29.0,3.0,29.0
1148229.0,38000.0,1060565.0,3539.0,2001.0,High,80.0,2004-01-29,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Nevada,Backhoe Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1147023.0,14500.0,1015970.0,7014.0,1999.0,Low,20.0,2004-01-29,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,Colorado,Skid Steer Loaders,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1147552.0,13500.0,99456.0,7014.0,2000.0,Medium,80.0,2004-01-29,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,Pennsylvania,Skid Steer Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1147589.0,34000.0,1065989.0,11862.0,1998.0,Medium,80.0,2004-01-29,"Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",Georgia,Track Excavators,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1142144.0,11500.0,143284.0,7009.0,1999.0,Medium,100.0,2004-01-29,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,Georgia,Skid Steer Loaders,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1143158.0,26500.0,342456.0,28613.0,1991.0,Low,48.0,2004-01-29,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",Utah,Track Excavators,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1141282.0,10500.0,1026967.0,9566.0,1998.0,Medium,130.0,2004-01-29,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Georgia,Skid Steer Loaders,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1142487.0,12500.0,118726.0,7009.0,1999.0,Medium,100.0,2004-01-29,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,North Carolina,Skid Steer Loaders,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1147631.0,17500.0,1050879.0,7019.0,2001.0,Low,80.0,2004-01-29,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Massachusetts,Skid Steer Loaders,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1143492.0,14000.0,129025.0,7009.0,2002.0,Low,90.0,2004-01-29,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,Georgia,Skid Steer Loaders,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1139545.0,17500.0,273291.0,7014.0,2001.0,Low,97.0,2004-01-29,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,North Dakota,Skid Steer Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1142074.0,8000.0,1054090.0,9550.0,1997.0,Medium,100.0,2004-01-29,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,Florida,Skid Steer Loaders,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1148111.0,11500.0,1026811.0,7002.0,2000.0,Low,40.0,2004-01-29,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,Nebraska,Skid Steer Loaders,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1145902.0,30500.0,188641.0,3561.0,1998.0,High,90.0,2004-01-29,Backhoe Loader - 16.0 + Ft Standard Digging Depth,Colorado,Backhoe Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1143079.0,14500.0,1037891.0,4685.0,1989.0,Low,20.0,2004-01-29,Backhoe Loader - 16.0 + Ft Standard Digging Depth,California,Backhoe Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1146625.0,10500.0,1035492.0,17604.0,1999.0,Low,90.0,2004-01-29,"Hydraulic Excavator, Track - 0.0 to 2.0 Metric Tons",West Virginia,Track Excavators,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1144972.0,35000.0,27205.0,3539.0,2002.0,Medium,78.0,2004-01-29,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Alabama,Backhoe Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1147027.0,12500.0,229443.0,7002.0,2001.0,Medium,100.0,2004-01-29,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,Maryland,Skid Steer Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1141413.0,15000.0,473853.0,7014.0,2001.0,Low,100.0,2004-01-29,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,Texas,Skid Steer Loaders,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1148015.0,39000.0,77735.0,3542.0,2001.0,Medium,356.0,2004-01-29,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,New Jersey,Backhoe Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1141805.0,16000.0,521303.0,20090.0,2000.0,Medium,300.0,2004-01-29,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Florida,Track Excavators,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1141458.0,19000.0,804277.0,7122.0,1990.0,Low,48.0,2004-01-29,Backhoe Loader - 16.0 + Ft Standard Digging Depth,Maine,Backhoe Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1143988.0,23000.0,1018599.0,3414.0,1987.0,Medium,50.0,2004-01-29,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",New Jersey,Track Excavators,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1143049.0,51000.0,1019533.0,3856.0,1989.0,Medium,80.0,2004-01-29,Wheel Loader - 200.0 to 225.0 Horsepower,Utah,Wheel Loader,2 Valve,None or Unspecified,1000.0,Standard,1500.0,Conventional,1500.0,16000.0,2004.0,1.0,29.0,3.0,29.0
1142962.0,15500.0,506542.0,7019.0,2001.0,Medium,50.0,2004-01-29,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Texas,Skid Steer Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1140396.0,23000.0,380903.0,3538.0,1998.0,Medium,100.0,2004-01-29,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Arizona,Backhoe Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1142174.0,15500.0,863024.0,7014.0,2001.0,Medium,200.0,2004-01-29,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,Massachusetts,Skid Steer Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1142542.0,46000.0,64107.0,1596.0,1998.0,Medium,90.0,2004-01-29,"Track Type Tractor, Dozer - 105.0 to 130.0 Horsepower",Wisconsin,Track Type Tractors,2 Valve,PAT,3000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,20400.0,2004.0,1.0,29.0,3.0,29.0
1147320.0,22500.0,370687.0,3538.0,1999.0,Medium,90.0,2004-01-29,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Arizona,Backhoe Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1142800.0,13500.0,461608.0,7014.0,2000.0,Medium,300.0,2004-01-29,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,Texas,Skid Steer Loaders,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1143543.0,11750.0,54985.0,9551.0,1999.0,Low,78.0,2004-01-29,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,Louisiana,Skid Steer Loaders,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1143932.0,105000.0,26509.0,1333.0,1998.0,Medium,356.0,2004-01-29,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",Mississippi,Track Excavators,Standard,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
1143433.0,30500.0,458231.0,3538.0,2000.0,Low,100.0,2004-01-29,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Texas,Backhoe Loaders,Auxiliary,None or Unspecified,1000.0,None or Unspecified,1200.0,None or Unspecified,1000.0,12400.0,2004.0,1.0,29.0,3.0,29.0
